Original_Order,Eastings,Northings2
5632,474518,400027
72164,497395,400037
5512,477022,400038
5465,481232,400042
5587,477193,400042
5628,481261,400059
5599,475715,400074
5562,481186,400087
5475,475863,400107
5570,481157,400108
72065,497305,400121
72066,497305,400121
72172,497309,400123
72359,497444,400157
5541,480903,400159
5530,477051,400166
5531,477051,400166
5571,477170,400174
5574,477170,400174
5626,477170,400174
5627,477170,400174
72031,497364,400209
5520,477100,400239
5560,477100,400239
5443,474157,400241
5529,480985,400254
5611,480985,400254
5631,480988,400256
5640,480819,400269
5447,480829,400280
5466,480910,400282
5473,477227,400288
5456,481600,400300
5522,481600,400300
5362,481580,400310
5517,477259,400365
5610,480964,400375
97132,524308,400488
5548,480605,400575
5549,480605,400575
5550,480605,400575
72197,492986,400575
5536,480876,400576
103014,521443,400609
103020,521443,400609
5565,480896,400624
5407,480307,400633
102913,521358,400641
72427,497510,400759
72083,493156,400909
72198,493156,400909
5583,481732,400946
5584,481732,400946
5585,481732,400946
72474,493165,401020
97125,525492,401079
97126,525492,401079
5506,472997,401116
5508,472997,401116
5479,477357,401145
5480,477357,401145
5641,482590,401222
97122,524952,401244
72190,494833,401345
72220,495003,401377
72194,494394,401402
72475,498041,401411
72239,495264,401433
72240,495264,401433
72430,495754,401459
72161,492059,401500
92577,531408,401508
72144,498099,401566
72145,498099,401566
72210,498099,401566
97103,524877,401675
97175,525337,401698
5616,480457,401956
5453,478022,402069
5457,478022,402069
5460,478022,402069
5464,478022,402069
5468,478022,402069
5474,478022,402069
5491,478022,402069
5492,478022,402069
5493,478022,402069
5494,478022,402069
5503,478022,402069
5504,478022,402069
5509,478022,402069
5511,478022,402069
5521,478022,402069
5524,478022,402069
5526,478022,402069
5543,478022,402069
5544,478022,402069
5556,478022,402069
48564,528627,402153
72260,497839,402167
72393,497839,402167
72327,498024,402196
72347,498024,402196
72432,498024,402196
72169,497836,402209
72170,497836,402209
97066,525488,402210
72366,498197,402236
72410,498197,402236
95402,457717,402272
72056,498162,402275
72404,498162,402275
72321,497924,402276
72402,498185,402276
72403,498185,402276
79274,498185,402276
72290,498207,402283
72373,497716,402290
48565,528574,402292
72097,497890,402297
72350,498140,402297
72035,497889,402307
72076,498199,402318
72472,498199,402318
72476,498199,402318
72478,498199,402318
72060,497829,402330
72289,498343,402414
72450,498249,402416
72175,498329,402451
72305,498299,402461
72481,497730,402461
72486,497600,402466
72487,497600,402466
72326,498224,402473
72090,498298,402481
72316,497743,402491
72375,497700,402500
72376,497700,402500
72073,498294,402518
72075,498294,402518
72093,498294,402518
72462,498294,402518
72152,497750,402520
72449,498284,402520
72457,498284,402520
72026,498239,402529
72436,498239,402529
72479,498291,402544
72411,497617,402546
72158,498327,402547
72501,498240,402559
72040,493333,402563
72068,498222,402567
72283,497673,402567
72452,497673,402567
72318,498345,402568
72319,498345,402568
72349,498345,402568
72379,497902,402568
72461,498345,402568
72442,497975,402574
72355,498220,402577
72356,498220,402577
72395,498220,402577
72125,498333,402589
72131,498333,402589
72416,498278,402602
72129,498278,402607
72264,498278,402607
72274,498278,402607
72275,498278,402607
72360,498278,402607
72424,498278,402607
72307,498334,402609
72309,498334,402609
72483,498270,402647
72038,498202,402666
72154,498257,402669
72313,497581,402757
72361,497581,402757
72231,497585,402765
72493,497653,402790
48567,528806,402812
97044,526842,402841
96982,525207,402842
72377,497768,402869
72378,497768,402869
97121,525493,402923
97178,526645,402927
48566,528716,402950
5586,471531,402976
97167,525720,402998
5534,471439,403022
72310,497592,403073
72384,497592,403073
103005,523700,403100
72346,497663,403124
72254,490788,403149
102901,523315,403156
102966,523315,403156
102969,523315,403156
102972,523315,403156
102973,523315,403156
102981,523315,403156
103006,523315,403156
102874,523389,403173
102947,523389,403173
102844,523888,403185
103138,523585,403212
102891,523572,403241
72130,497846,403246
72186,497292,403279
72385,497435,403290
72386,497435,403290
72387,497435,403290
72257,501727,403299
96997,525938,403308
97061,525385,403323
97009,525946,403327
72364,497396,403338
72320,497254,403341
102849,523882,403352
103027,523882,403352
97082,526305,403374
4787,477027,403388
102829,523770,403396
4666,476405,403405
97129,525795,403409
97031,525611,403413
72115,497344,403422
72429,497481,403428
72101,497343,403429
5483,471256,403444
4673,478223,403451
4679,478223,403451
4678,478159,403460
72322,501414,403466
72399,501414,403466
72468,501414,403466
48568,528364,403467
72103,501468,403467
72105,501468,403467
97088,525234,403472
97048,525169,403493
5564,470978,403508
95429,456779,403508
97047,525670,403528
97173,525670,403528
96993,525797,403530
97020,525797,403530
97072,525284,403530
5568,471025,403534
5629,471060,403534
5630,471060,403534
5638,471025,403534
5642,471025,403534
97091,526050,403534
72166,497474,403546
97102,525326,403553
97123,525368,403556
97024,525654,403571
4599,478436,403572
4601,478436,403572
4873,478665,403572
4604,478187,403575
97046,526542,403580
4830,478435,403586
4848,478435,403586
97045,526006,403588
97168,526006,403588
102808,524911,403590
102809,524911,403590
97035,525527,403596
4822,478093,403603
4849,478093,403603
97170,526241,403604
4593,478133,403606
4637,478133,403606
4691,477887,403620
4814,477887,403620
5445,472584,403622
5446,472584,403622
97080,525111,403635
4591,478427,403636
72250,499181,403655
4578,478304,403657
4664,478304,403657
4671,478304,403657
97005,525006,403664
97171,525158,403671
97095,525171,403675
4737,478221,403676
4745,477481,403677
4746,477411,403677
97096,525176,403678
4662,478220,403690
4795,477637,403695
4820,477637,403695
97004,525690,403697
97034,525690,403697
97111,525071,403697
4881,478418,403698
97186,525750,403700
4744,478372,403714
96973,525131,403714
97050,526378,403715
4661,478372,403723
97041,525773,403723
4790,477440,403724
97100,525488,403727
97101,525488,403727
97150,526019,403729
4648,477604,403741
97079,525788,403742
4659,477334,403746
30226,477334,403746
97067,525796,403746
97084,525796,403746
97098,525796,403746
97124,525796,403746
97164,525796,403746
97183,525796,403746
97027,527884,403748
97105,527884,403748
97117,527884,403748
97049,526261,403749
97022,525763,403752
4630,478840,403753
4631,478840,403753
4740,477892,403753
4925,477892,403753
4657,477896,403755
4842,477896,403755
4861,477896,403755
4866,477896,403755
96992,524935,403756
96969,524877,403760
96974,524877,403760
96976,524877,403760
96984,524877,403760
96986,524877,403760
96988,524877,403760
96991,524877,403760
97007,524877,403760
97010,524877,403760
97013,524877,403760
97014,524877,403760
97015,524877,403760
97016,524877,403760
97017,524877,403760
97018,524877,403760
97021,524877,403760
97032,524877,403760
97036,524877,403760
97038,524877,403760
97042,524877,403760
97099,524877,403760
4699,478299,403763
4751,478299,403763
4921,477386,403766
97085,525885,403767
4626,477644,403770
4583,478300,403772
4645,478300,403772
4773,478300,403772
97008,526176,403773
97030,525980,403774
96977,526173,403776
4596,478359,403781
4696,478359,403781
4697,478359,403781
4711,478359,403781
4738,478359,403781
4915,478359,403781
4760,478760,403791
97148,526165,403791
96978,526256,403794
96989,526256,403794
97011,526256,403794
97029,526256,403794
97108,526256,403794
4706,478023,403797
4682,477936,403803
97113,525772,403803
97114,525772,403803
4584,477993,403805
4624,477993,403805
97069,525912,403807
4658,477940,403810
4733,477940,403810
97056,525198,403811
97075,525153,403815
97076,525153,403815
97083,525204,403815
97097,525204,403815
97185,526141,403818
4835,478281,403821
4668,478268,403822
4726,478329,403822
97019,526225,403828
4580,480818,403830
4770,478342,403830
96983,525865,403830
4684,478335,403837
4685,478335,403837
97043,525910,403837
4891,478560,403840
4734,477358,403842
4735,477358,403842
4655,478274,403845
4688,478274,403845
96975,525974,403850
97055,525974,403850
97060,525974,403850
97071,525974,403850
97073,525974,403850
4701,477847,403855
4913,478213,403856
4705,478259,403857
97037,526093,403858
97070,526093,403858
4833,477640,403863
4821,478243,403866
4589,478185,403868
96994,526046,403868
96995,526046,403868
97135,526046,403868
4603,478061,403870
4608,478061,403870
97023,526104,403870
97089,526304,403870
4763,478251,403873
4724,478363,403877
97119,526103,403877
97120,526103,403877
4698,478218,403882
4813,477771,403882
4917,477914,403886
4747,477517,403888
4629,477495,403892
96968,525439,403892
97003,525439,403892
97115,525439,403892
97000,525296,403893
4610,477382,403894
4806,477382,403894
4807,477382,403894
4799,478285,403900
4703,478324,403903
4909,478324,403903
4910,478324,403903
4587,477811,403908
4590,478084,403908
4602,478084,403908
4618,478084,403908
4621,478084,403908
4622,478084,403908
4628,478084,403908
4709,478084,403908
4748,477811,403908
4791,477811,403908
4895,477811,403908
4819,477682,403912
97090,525642,403913
4720,477673,403914
4721,477673,403914
4647,478067,403915
4803,478067,403915
97052,525657,403917
96999,525965,403918
97112,526013,403918
97077,525664,403919
97109,525019,403920
4918,477735,403921
4923,477834,403921
4785,478139,403923
4609,477581,403930
4582,478115,403934
96981,525387,403934
97155,526072,403942
97159,526072,403942
4808,477567,403944
4809,477567,403944
4827,477567,403944
4695,477616,403947
97025,526007,403948
97026,526007,403948
4573,478097,403949
97068,525425,403949
4774,477568,403953
4775,477568,403953
4776,477568,403953
4796,477568,403953
4804,474123,403953
4855,477618,403956
72306,490806,403956
97184,525673,403956
4690,477778,403959
97078,526046,403962
97128,526046,403962
97154,526046,403962
97012,524990,403966
4700,478332,403975
4731,478332,403975
97131,524862,403975
97137,524862,403975
97139,524862,403975
97140,524862,403975
97142,524862,403975
97143,524862,403975
97145,524862,403975
97147,524862,403975
97149,524862,403975
97156,524862,403975
97161,524862,403975
97162,524862,403975
97163,524862,403975
97169,524862,403975
97174,524862,403975
97176,524862,403975
97177,524862,403975
97179,524862,403975
97180,524862,403975
97181,524862,403975
97182,524862,403975
4824,477683,403978
97144,524875,403979
4865,477591,403990
4898,477591,403990
4900,477591,403990
96996,524976,403990
97062,524976,403990
97064,524976,403990
97065,524976,403990
97104,524976,403990
4836,477580,403992
4616,477566,403994
4646,477566,403994
4761,477566,403994
4762,477566,403994
4871,477566,403994
97074,526400,404000
97110,526400,404000
97138,526400,404000
102861,521966,404004
102862,521966,404004
4620,477674,404009
4581,477665,404011
4812,478375,404011
4574,477657,404013
4576,477657,404013
4585,477657,404013
4816,477397,404013
97051,526022,404016
4639,477813,404019
96980,525257,404019
4828,477825,404021
72244,489124,404027
4615,478069,404037
4617,478069,404037
4825,477752,404039
4826,477752,404039
4641,477782,404043
72234,489992,404050
96970,526018,404051
96990,526018,404051
97006,526018,404051
97057,526018,404051
72437,503592,404054
72428,504869,404055
97054,525393,404056
97094,525393,404056
4636,480901,404058
4743,480901,404058
4841,480901,404058
49720,527967,404058
49722,527967,404058
4857,477765,404062
4906,477765,404062
97136,525974,404065
97151,525620,404066
4850,478155,404067
4725,477997,404068
97107,526568,404068
97158,524800,404069
4674,477753,404074
97028,526017,404074
4882,477747,404081
4919,477747,404081
72304,487084,404082
97160,526463,404084
97002,526432,404089
97053,526432,404089
72085,486805,404103
72059,489770,404109
72108,489770,404109
72251,489770,404109
72281,489770,404109
72294,489770,404109
4650,477978,404110
97063,525325,404110
4611,477963,404112
72439,489037,404113
97092,525945,404114
96979,526523,404115
97086,526523,404115
4908,478053,404118
4912,478053,404118
72069,489901,404119
72133,489901,404119
72431,489866,404125
4932,477821,404136
10218,489705,404137
97118,525935,404137
97039,526069,404147
97040,526069,404147
96972,525960,404150
102843,520988,404150
4619,477703,404151
4663,477703,404151
4714,477703,404151
4852,477703,404152
4853,477703,404152
4854,477703,404152
4858,477538,404160
96985,525983,404179
72258,489363,404181
72259,489363,404181
72328,489363,404181
97172,525984,404189
97130,526367,404192
72249,504766,404196
72303,486881,404196
72317,504555,404198
4594,477632,404209
4606,477632,404209
4627,477632,404209
4888,478059,404220
72047,489472,404223
72110,489472,404223
97033,526088,404225
97087,526088,404225
97093,526323,404236
97081,526094,404243
4625,477683,404246
4588,477752,404248
4742,477752,404248
72335,491604,404252
72182,489295,404256
72183,489295,404256
97165,526008,404256
97166,526008,404256
4928,477653,404258
72138,489630,404272
97001,526017,404276
49839,527863,404284
4718,477789,404285
4883,477564,404288
72055,488128,404291
49813,527845,404293
49815,527845,404293
72358,488075,404293
72371,488075,404293
49676,527800,404300
72091,489181,404310
4575,477534,404311
49817,527098,404319
49905,527823,404322
4586,477547,404338
4632,477838,404338
4633,477838,404338
4704,477547,404338
4713,477547,404338
4729,477547,404338
4750,477547,404338
4777,477547,404338
4783,477547,404338
4817,477547,404338
4879,477619,404338
4914,477619,404338
96987,526174,404339
72196,489364,404344
72098,486977,404347
49697,527306,404351
49698,527306,404351
49699,527306,404351
49762,527306,404351
49848,527306,404351
49851,527306,404351
50085,527306,404351
4708,477553,404355
4717,477553,404355
4756,477553,404355
97106,526126,404357
72064,489298,404360
72272,489298,404360
72037,489303,404361
4651,477541,404362
72140,489662,404369
97059,526147,404372
97116,526147,404372
97127,526147,404372
49692,527227,404379
96998,526477,404394
72480,489522,404402
49770,528660,404403
49771,528660,404403
98812,526229,404412
72470,489317,404414
97058,526147,404416
96971,526267,404423
72163,497081,404425
97157,526377,404439
49695,527424,404441
49725,527424,404441
49768,527424,404441
49774,527424,404441
49781,527424,404441
49794,527424,404441
49809,527424,404441
49837,527424,404441
49849,527424,404441
49856,527424,404441
49903,527424,404441
49958,527424,404441
49965,527424,404441
49988,527424,404441
49989,527424,404441
50000,527424,404441
50001,527424,404441
50013,527424,404441
50041,527424,404441
50054,527424,404441
50055,527424,404441
50068,527424,404441
50069,527424,404441
50074,527424,404441
50078,527424,404441
50081,527424,404441
50082,527424,404441
50106,527424,404441
50109,527424,404441
50115,527424,404441
50116,527424,404441
50118,527424,404441
50135,527424,404441
49683,530730,404442
49735,528332,404442
49736,528332,404442
103152,519144,404456
72146,489299,404457
72187,489526,404458
72219,489327,404459
72332,488994,404461
72042,489583,404474
50140,528846,404476
50141,528846,404476
97133,526442,404480
50060,527813,404487
50061,527813,404487
4802,477443,404489
72028,489680,404491
72029,489680,404491
72489,489602,404492
50142,529337,404498
50144,529337,404498
72398,489055,404499
72112,489132,404514
72113,489132,404514
72354,489288,404516
72363,489288,404516
72365,489374,404529
72324,489397,404532
72206,489550,404539
72353,489579,404542
72104,489280,404544
72106,489280,404544
72207,489280,404544
72208,489280,404544
72209,489280,404544
72241,489280,404544
72389,489280,404544
72440,489280,404544
50117,528376,404561
72116,489743,404564
97146,526306,404564
58755,529329,404569
97134,526485,404570
49882,529328,404572
49912,529253,404585
50031,530984,404591
72491,494371,404598
49778,529094,404599
49862,529094,404599
4892,477342,404603
49983,529113,404606
72094,496841,404618
102836,519497,404625
95436,458482,404639
72126,489671,404644
72127,489671,404644
72128,489671,404644
49935,528706,404654
72276,504340,404657
49964,528319,404665
50111,528319,404665
50059,529605,404670
72466,489437,404670
49716,527972,404677
49717,527972,404677
49766,527972,404677
49932,528375,404678
50134,528375,404678
4840,477078,404683
72336,489126,404692
72339,489126,404692
72340,489126,404692
72345,489126,404692
72367,489126,404692
72368,489126,404692
72383,489126,404692
72390,489126,404692
72391,489126,404692
72419,489427,404692
72433,489126,404692
49818,529304,404693
49909,528107,404694
49998,529316,404712
50094,529296,404714
50104,528625,404716
49802,528097,404721
72109,489072,404724
72263,489072,404724
49791,528241,404725
50044,528241,404725
72388,489404,404725
4772,477138,404728
50018,529466,404732
49738,528943,404735
49739,528943,404735
49740,528943,404735
50009,528333,404747
72080,497105,404755
72118,497110,404756
72086,497129,404764
72298,497129,404764
72380,497086,404766
72381,497086,404766
49825,528291,404771
49826,528291,404771
49893,530972,404774
50016,530941,404791
49995,528459,404802
50006,528459,404802
49743,528624,404803
49777,528624,404803
49919,528574,404817
49920,528574,404817
49923,528317,404824
72048,497038,404837
103002,521988,404837
49990,528171,404841
49997,528308,404845
49705,529018,404848
49706,529018,404848
49831,529018,404848
49852,529018,404848
49853,529018,404848
49859,529018,404848
49865,529018,404848
49902,529018,404848
49904,529018,404848
49908,529018,404848
49910,529018,404848
49911,529018,404848
49916,529018,404848
49924,529018,404848
49937,529018,404848
49955,529018,404848
49956,529018,404848
49966,529018,404848
49968,529018,404848
49970,529018,404848
49981,529018,404848
49982,529018,404848
49984,529018,404848
50002,529018,404848
50023,529018,404848
50024,529018,404848
50043,529018,404848
50065,529018,404848
50066,529018,404848
50077,529018,404848
50131,529018,404848
49784,528890,404851
50040,527546,404851
50145,527511,404853
58785,527511,404853
50005,527726,404855
49749,528889,404858
49754,528889,404858
49755,528889,404858
102971,521980,404859
103043,521980,404859
72233,489174,404860
49750,528706,404865
49788,528610,404877
49864,528663,404877
49769,528252,404884
49782,528252,404884
49792,528252,404884
49860,528252,404884
49888,528252,404884
49896,528252,404884
49954,528252,404884
49962,528252,404884
50015,528252,404884
49930,529240,404890
49931,529240,404890
50033,528013,404890
50034,528013,404890
50053,529240,404890
50063,528013,404890
103015,524929,404895
103016,524929,404895
50028,528203,404896
72288,496944,404902
72455,489515,404904
50139,529314,404906
49996,527832,404918
50083,527832,404918
4683,478319,404922
49820,528331,404924
50017,527931,404926
49925,527900,404928
49967,527900,404928
50058,527929,404932
50100,529279,404935
72456,489685,404936
49890,528470,404940
49687,528476,404941
49914,527813,404954
49915,527813,404954
49929,527813,404954
49678,528598,404955
49855,530789,404955
50004,528507,404955
49875,529557,404956
49876,529557,404956
49866,528532,404960
50093,530410,404971
50072,528947,404974
49891,528295,404977
49892,528295,404977
49871,528114,404979
49879,528114,404979
49880,528114,404979
49881,528114,404979
49926,528114,404979
49986,527805,404979
49907,530426,404981
50049,528893,404987
50050,528893,404987
49772,528553,405000
49744,528557,405005
72562,525870,405006
49786,528137,405007
49728,528328,405011
49729,528328,405011
72538,526125,405025
72748,526125,405025
72757,526125,405025
72819,526125,405025
72505,526412,405031
72516,526412,405031
72615,526412,405031
108267,526412,405031
108371,526412,405031
6563,455852,405035
49844,530342,405039
49846,530771,405039
72845,526025,405042
4844,476807,405046
50079,528532,405047
4869,476798,405050
72614,526093,405050
72052,497042,405055
72162,497042,405055
72168,497042,405055
72213,497042,405055
72214,497042,405055
72417,497001,405055
49834,528104,405062
72253,497038,405062
49756,528920,405065
50127,530197,405083
72761,526138,405084
77149,529222,405085
72576,526473,405093
72620,526473,405093
72096,496800,405100
49684,528666,405104
49952,528178,405105
72820,525813,405107
49850,528515,405108
50047,527811,405117
72171,497256,405119
50086,530886,405121
102939,522416,405124
102999,522416,405124
103007,522416,405124
103008,522416,405124
103070,522416,405124
103107,522416,405124
49787,528885,405129
49763,530126,405132
49832,530967,405133
49702,529045,405143
49959,530930,405145
49960,530930,405145
49961,530930,405145
49939,530874,405149
49940,530874,405149
72344,496959,405151
49945,528024,405153
49884,528994,405155
49800,528034,405156
49673,528126,405158
72513,526497,405163
72521,526497,405163
50026,533652,405165
72135,495281,405168
49885,530901,405171
49718,528974,405177
49726,528974,405177
49727,528974,405177
49758,528974,405177
72735,526173,405177
72736,526173,405177
72737,526173,405177
72740,526173,405177
49861,529012,405185
49868,529012,405185
49869,529012,405185
49917,529012,405185
49921,529012,405185
72199,496940,405185
49863,533631,405186
49841,528259,405197
49842,528259,405197
50076,528259,405197
72299,494435,405204
72329,494435,405204
72392,494435,405204
72396,494435,405204
72397,494435,405204
50098,528639,405212
50075,530368,405214
49713,529147,405220
72057,496745,405229
72058,496745,405229
72136,496745,405229
72137,496745,405229
72178,496745,405229
72179,496745,405229
72184,496745,405229
72188,496745,405229
72215,496745,405229
72216,496745,405229
49733,528170,405232
50046,528170,405232
4,464918,405235
49677,529034,405235
49690,529034,405235
49804,529034,405235
49828,529034,405235
50035,528169,405236
49721,528701,405237
72333,496908,405242
72718,525832,405243
49701,528036,405244
72586,525705,405248
72747,526005,405251
72580,526194,405253
72541,525980,405256
72860,525980,405256
72867,525980,405256
72868,525980,405256
72608,526607,405259
72821,525820,405263
72715,525882,405288
44413,533122,405289
44414,533122,405289
44415,533122,405289
72855,526764,405290
72774,526917,405293
72678,526602,405296
72540,525695,405297
72634,526854,405297
72547,526366,405300
72675,526366,405300
72739,526366,405300
72741,526366,405300
49783,528297,405304
103083,520747,405306
103084,520747,405306
72545,526405,405308
72546,526405,405308
72711,526822,405312
50025,533595,405315
49785,531045,405323
72297,496799,405324
72601,526820,405324
72262,487985,405325
49819,528258,405327
49719,533590,405330
50010,533451,405330
49748,531019,405336
72054,496312,405337
49724,528701,405338
49927,528701,405338
49867,528619,405344
72877,526485,405344
72585,526530,405355
50071,528253,405368
49814,533000,405373
50099,528443,405377
49745,528700,405379
49711,528272,405380
72409,489279,405381
72412,489279,405381
49953,530867,405382
50130,528701,405387
103034,520761,405389
103035,520761,405389
103036,520761,405389
103038,520761,405389
72535,526489,405391
50042,528698,405393
50121,528698,405393
50124,528698,405393
72681,526339,405398
49737,528705,405403
102832,520756,405403
102890,520756,405403
102925,520756,405403
103085,520756,405403
49807,531159,405411
49714,530593,405421
49779,530593,405421
49808,530593,405421
49827,530593,405421
49830,530593,405421
49833,530593,405421
49835,530593,405421
49836,530593,405421
49838,530593,405421
49847,530593,405421
49900,530593,405421
49938,530593,405421
50012,530593,405421
50070,530593,405421
50080,530593,405421
50084,530593,405421
50102,530593,405421
50107,530593,405421
50138,530593,405421
72578,525919,405423
50011,533332,405429
72533,526665,405435
72682,526833,405441
72717,526833,405441
72719,526833,405441
72665,526141,405453
72732,526141,405453
72134,496802,405463
49999,531576,405473
72793,525670,405482
102957,520582,405487
72863,525887,405498
72864,525887,405498
72859,526761,405505
72341,496823,405509
72517,526233,405520
72539,526233,405520
72652,526233,405520
72685,526233,405520
72839,526280,405520
4874,476398,405523
72352,497167,405531
72629,526375,405533
72630,526375,405533
72632,526375,405533
72633,526375,405533
72676,526375,405533
72716,526401,405533
72734,526401,405533
72822,526375,405533
72827,526401,405533
49969,531266,405534
72523,526367,405534
72510,526391,405535
72512,526391,405535
72520,526396,405535
72590,526391,405535
72591,526391,405535
72625,526396,405535
72701,526391,405535
72776,526391,405535
72527,526362,405536
72667,526397,405536
49696,530888,405539
72612,526056,405543
72613,526056,405543
72636,526345,405543
72637,526345,405543
72646,526321,405550
72647,526321,405550
72577,525713,405553
72551,526318,405556
49798,531258,405558
44368,533078,405564
50147,533079,405564
72252,488027,405564
72434,488028,405565
72874,526280,405569
72876,526280,405569
72713,526309,405570
72242,496781,405572
50095,530968,405577
50096,530968,405577
50097,530968,405577
72550,526400,405578
72603,526400,405578
72604,526400,405578
49899,533370,405579
72795,526793,405584
49941,531066,405586
50088,531159,405586
72582,526316,405592
72189,496961,405596
72218,496963,405597
72626,525669,405602
72420,483723,405609
72530,526339,405614
72589,526558,405619
72599,526558,405619
4886,478523,405621
72753,526367,405623
72754,526367,405623
72755,526367,405623
72628,526808,405628
72565,525834,405632
72569,525834,405632
72752,526410,405634
72554,526306,405635
72704,526361,405635
72727,526361,405635
72514,526404,405636
72528,526358,405640
72858,526526,405640
72875,526331,405640
72674,526356,405645
5450,483035,405646
72671,526355,405650
72673,526355,405650
5546,483079,405655
5621,483079,405655
72693,526474,405661
5580,482969,405666
72742,526476,405668
72584,526774,405672
72720,526774,405672
72828,526774,405672
72780,526477,405673
72781,526477,405673
5620,482963,405677
5622,482963,405677
72594,525892,405677
72595,525892,405677
5617,482993,405683
72648,526543,405686
72751,525803,405693
72773,525803,405693
